dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0096,96,strogatz_predprey2,sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2,srbench1.0,srbench1.0/strogatz,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0097,97,Keijzer-1,sim-datasets-data/keijzer/Keijzer-1,keijzer,keijzer,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0098,98,strogatz_barmag1,sim-datasets-data/srbench1.0/strogatz/strogatz_barmag1,srbench1.0,srbench1.0/strogatz,strict,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0099,99,Keijzer-2,sim-datasets-data/keijzer/Keijzer-2,keijzer,keijzer,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0100,100,PO18,sim-datasets-data/llm-srbench/phys_osc/PO18,llm-srbench,llm-srbench/phys_osc,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0101,101,PO21,sim-datasets-data/llm-srbench/phys_osc/PO21,llm-srbench,llm-srbench/phys_osc,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0102,102,CRK23,sim-datasets-data/llm-srbench/chem_react/CRK23,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0103,103,BPG9,sim-datasets-data/llm-srbench/bio_pop_growth/BPG9,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,5,dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0104,104,PO27,sim-datasets-data/llm-srbench/phys_osc/PO27,llm-srbench,llm-srbench/phys_osc,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0105,105,BPG7,sim-datasets-data/llm-srbench/bio_pop_growth/BPG7,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0106,106,Korns-4,sim-datasets-data/korns/Korns-4,korns,korns,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0107,107,BPG16,sim-datasets-data/llm-srbench/bio_pop_growth/BPG16,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0108,108,BPG8,sim-datasets-data/llm-srbench/bio_pop_growth/BPG8,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0109,109,BPG0,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0110,110,CRK5,sim-datasets-data/llm-srbench/chem_react/CRK5,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0111,111,CRK16,sim-datasets-data/llm-srbench/chem_react/CRK16,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0112,112,CRK15,sim-datasets-data/llm-srbench/chem_react/CRK15,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0113,113,Nguyen-7,sim-datasets-data/nguyen/Nguyen-7,nguyen,nguyen,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0114,114,Korns-8,sim-datasets-data/korns/Korns-8,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0115,115,MatSci23,sim-datasets-data/llm-srbench/matsci/MatSci23,llm-srbench,llm-srbench/matsci,strict,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0116,116,Korns-2,sim-datasets-data/korns/Korns-2,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0117,117,PO37,sim-datasets-data/llm-srbench/phys_osc/PO37,llm-srbench,llm-srbench/phys_osc,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0118,118,BPG14,sim-datasets-data/llm-srbench/bio_pop_growth/BPG14,llm-srbench,llm-srbench/bio_pop_growth,strict,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0119,119,first_principles_kepler,sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler,srbench2025,srbench2025/firstprinciples,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0120,120,feynman_test_8,sim-datasets-data/srbench1.0/feynman/feynman_test_8,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0121,121,CRK6,sim-datasets-data/llm-srbench/chem_react/CRK6,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0122,122,feynman_I_27_6,sim-datasets-data/srbench1.0/feynman/feynman_I_27_6,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0123,123,feynman_I_6_2,sim-datasets-data/srbench1.0/feynman/feynman_I_6_2,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0124,124,I.13.12_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0,llm-srbench,llm-srbench/lsrtransform,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0125,125,II.36.38_5_0,sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0,llm-srbench,llm-srbench/lsrtransform,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0126,126,feynman_I_6_2b,sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0127,127,feynman_test_7,sim-datasets-data/srbench1.0/feynman/feynman_test_7,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0128,128,feynman_test_4,sim-datasets-data/srbench1.0/feynman/feynman_test_4,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0129,129,Korns-5,sim-datasets-data/korns/Korns-5,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0130,130,Keijzer-10,sim-datasets-data/keijzer/Keijzer-10,keijzer,keijzer,strict,llmsr,7,5,drsr;gplearn;llmsr;pyoperon;tpsr,4,3,0
g0131,131,II.6.15b_3_0,sim-datasets-data/llm-srbench/lsrtransform/II.6.15b_3_0,llm-srbench,llm-srbench/lsrtransform,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0132,132,CRK19,sim-datasets-data/llm-srbench/chem_react/CRK19,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,3,4,0
g0133,133,feynman_III_10_19,sim-datasets-data/srbench1.0/feynman/feynman_III_10_19,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0134,134,Korns-11,sim-datasets-data/korns/Korns-11,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0135,135,Korns-12,sim-datasets-data/korns/Korns-12,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0136,136,I.24.6_3_1,sim-datasets-data/llm-srbench/lsrtransform/I.24.6_3_1,llm-srbench,llm-srbench/lsrtransform,relaxed,llmsr,7,4,llmsr;pyoperon;pysr;tpsr,2,5,0
g0137,137,feynman_I_24_6,sim-datasets-data/srbench1.0/feynman/feynman_I_24_6,srbench1.0,srbench1.0/feynman,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0138,138,I.50.26_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.50.26_0_0,llm-srbench,llm-srbench/lsrtransform,relaxed,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0139,139,II.36.38_0_0,sim-datasets-data/llm-srbench/lsrtransform/II.36.38_0_0,llm-srbench,llm-srbench/lsrtransform,relaxed,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0140,140,Korns-9,sim-datasets-data/korns/Korns-9,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0141,141,Keijzer-15,sim-datasets-data/keijzer/Keijzer-15,keijzer,keijzer,one-sided,llmsr,7,4,drsr;llmsr;pyoperon;tpsr,3,4,0
g0142,142,BPG10,sim-datasets-data/llm-srbench/bio_pop_growth/BPG10,llm-srbench,llm-srbench/bio_pop_growth,one-sided,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,2,5,0
g0143,143,MatSci8,sim-datasets-data/llm-srbench/matsci/MatSci8,llm-srbench,llm-srbench/matsci,one-sided,llmsr,7,4,dso;llmsr;pyoperon;tpsr,2,5,0
g0144,144,Nguyen-8,sim-datasets-data/nguyen/Nguyen-8,nguyen,nguyen,one-sided,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,4,3,0
g0145,145,first_principles_rydberg,sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg,srbench2025,srbench2025/firstprinciples,one-sided,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0146,146,CRK17,sim-datasets-data/llm-srbench/chem_react/CRK17,llm-srbench,llm-srbench/chem_react,one-sided,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0147,147,MatSci25,sim-datasets-data/llm-srbench/matsci/MatSci25,llm-srbench,llm-srbench/matsci,one-sided,llmsr,7,3,llmsr;pyoperon;tpsr,2,5,0
g0148,148,MatSci11,sim-datasets-data/llm-srbench/matsci/MatSci11,llm-srbench,llm-srbench/matsci,one-sided,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0149,149,PO32,sim-datasets-data/llm-srbench/phys_osc/PO32,llm-srbench,llm-srbench/phys_osc,one-sided,llmsr,7,6,drsr;dso;gplearn;llmsr;pyoperon;tpsr,2,5,0
g0150,150,CRK28,sim-datasets-data/llm-srbench/chem_react/CRK28,llm-srbench,llm-srbench/chem_react,one-sided,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,3,4,0
g0151,151,MatSci3,sim-datasets-data/llm-srbench/matsci/MatSci3,llm-srbench,llm-srbench/matsci,one-sided,llmsr,7,4,dso;gplearn;llmsr;tpsr,2,5,0
g0152,152,first_principles_tully_fisher,sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher,srbench2025,srbench2025/firstprinciples,one-sided,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,3,4,0
g0153,153,MatSci21,sim-datasets-data/llm-srbench/matsci/MatSci21,llm-srbench,llm-srbench/matsci,one-sided,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0154,154,first_principles_leavitt,sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt,srbench2025,srbench2025/firstprinciples,one-sided,llmsr,7,4,dso;llmsr;pyoperon;tpsr,3,4,0
g0155,155,PO8,sim-datasets-data/llm-srbench/phys_osc/PO8,llm-srbench,llm-srbench/phys_osc,one-sided,llmsr,7,5,drsr;dso;llmsr;pyoperon;tpsr,2,5,0
g0156,156,Keijzer-12,sim-datasets-data/keijzer/Keijzer-12,keijzer,keijzer,one-sided,llmsr,7,4,drsr;llmsr;pyoperon;tpsr,2,5,0
g0157,157,PO26,sim-datasets-data/llm-srbench/phys_osc/PO26,llm-srbench,llm-srbench/phys_osc,one-sided,llmsr,7,6,drsr;dso;gplearn;llmsr;pyoperon;tpsr,2,5,0
g0158,158,PO0,sim-datasets-data/llm-srbench/phys_osc/PO0,llm-srbench,llm-srbench/phys_osc,one-sided,llmsr,7,4,drsr;dso;llmsr;pyoperon,2,5,0
g0159,159,CRK30,sim-datasets-data/llm-srbench/chem_react/CRK30,llm-srbench,llm-srbench/chem_react,one-sided,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,2,5,0
g0160,160,PO16,sim-datasets-data/llm-srbench/phys_osc/PO16,llm-srbench,llm-srbench/phys_osc,one-sided,llmsr,7,6,drsr;dso;gplearn;llmsr;pyoperon;tpsr,2,5,0
g0161,161,CRK13,sim-datasets-data/llm-srbench/chem_react/CRK13,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,2,5,0
g0162,162,CRK11,sim-datasets-data/llm-srbench/chem_react/CRK11,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0163,163,CRK8,sim-datasets-data/llm-srbench/chem_react/CRK8,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0164,164,CRK18,sim-datasets-data/llm-srbench/chem_react/CRK18,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0165,165,CRK10,sim-datasets-data/llm-srbench/chem_react/CRK10,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0166,166,CRK24,sim-datasets-data/llm-srbench/chem_react/CRK24,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0167,167,BPG3,sim-datasets-data/llm-srbench/bio_pop_growth/BPG3,llm-srbench,llm-srbench/bio_pop_growth,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0168,168,CRK34,sim-datasets-data/llm-srbench/chem_react/CRK34,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0169,169,CRK9,sim-datasets-data/llm-srbench/chem_react/CRK9,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0170,170,BPG17,sim-datasets-data/llm-srbench/bio_pop_growth/BPG17,llm-srbench,llm-srbench/bio_pop_growth,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0171,171,CRK2,sim-datasets-data/llm-srbench/chem_react/CRK2,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0172,172,CRK0,sim-datasets-data/llm-srbench/chem_react/CRK0,llm-srbench,llm-srbench/chem_react,mid-gap,llmsr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0173,173,feynman-ii.35.18,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,srsd,srsd/srsd-feynman_hard,mid-gap,llmsr,7,5,drsr;dso;llmsr;pyoperon;pysr,2,5,0
g0174,174,feynman-ii.35.18,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.35.18,srsd,srsd/srsd-feynman_hard_dummy,mid-gap,llmsr,7,5,drsr;dso;llmsr;pyoperon;pysr,3,4,0
g0175,175,feynman-bonus.2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.2,srsd,srsd/srsd-feynman_hard,mid-gap,llmsr,7,4,drsr;llmsr;pyoperon;pysr,2,5,0
g0176,176,feynman_II_8_7,sim-datasets-data/srbench1.0/feynman/feynman_II_8_7,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0177,177,feynman_I_14_3,sim-datasets-data/srbench1.0/feynman/feynman_I_14_3,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0178,178,feynman_I_43_16,sim-datasets-data/srbench1.0/feynman/feynman_I_43_16,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0179,179,feynman_III_15_14,sim-datasets-data/srbench1.0/feynman/feynman_III_15_14,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0180,180,feynman_II_15_4,sim-datasets-data/srbench1.0/feynman/feynman_II_15_4,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0181,181,feynman_II_3_24,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0182,182,I.11.19_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0183,183,feynman_II_21_32,sim-datasets-data/srbench1.0/feynman/feynman_II_21_32,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0184,184,III.15.14_1_0,sim-datasets-data/llm-srbench/lsrtransform/III.15.14_1_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,4,dso;llmsr;pysr;tpsr,2,5,0
g0185,185,I.11.19_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0186,186,I.11.19_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0187,187,I.11.19_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0188,188,feynman_III_15_27,sim-datasets-data/srbench1.0/feynman/feynman_III_15_27,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0189,189,feynman_I_12_2,sim-datasets-data/srbench1.0/feynman/feynman_I_12_2,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0190,190,feynman_II_11_20,sim-datasets-data/srbench1.0/feynman/feynman_II_11_20,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0191,191,II.34.29b_2_0,sim-datasets-data/llm-srbench/lsrtransform/II.34.29b_2_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0192,192,strogatz_shearflow1,sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow1,srbench1.0,srbench1.0/strogatz,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,4,3,0
g0193,193,II.21.32_3_0,sim-datasets-data/llm-srbench/lsrtransform/II.21.32_3_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,4,dso;llmsr;pysr;tpsr,2,5,0
g0194,194,II.21.32_2_0,sim-datasets-data/llm-srbench/lsrtransform/II.21.32_2_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0195,195,III.15.27_2_0,sim-datasets-data/llm-srbench/lsrtransform/III.15.27_2_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0196,196,II.34.29b_4_0,sim-datasets-data/llm-srbench/lsrtransform/II.34.29b_4_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0197,197,III.15.27_1_0,sim-datasets-data/llm-srbench/lsrtransform/III.15.27_1_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0198,198,feynman_II_34_29b,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b,srbench1.0,srbench1.0/feynman,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0199,199,III.13.18_0_0,sim-datasets-data/llm-srbench/lsrtransform/III.13.18_0_0,llm-srbench,llm-srbench/lsrtransform,mid-gap,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0200,200,Korns-3,sim-datasets-data/korns/Korns-3,korns,korns,mid-gap,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
